transition_id,object_id,reference_tier,source_family,criterion_id,arm,comparison,p_5,p_10,delta_p_second_minus_first,u_5,u_10,delta_u_second_minus_first,N_classifiable_5,N_classifiable_10
J131432.70+122718.5,J131432.70+122718.5,GOLD,Dong2025_SDSS_LAMOST,MACLEOD2019_FINAL,faint_only,SNR_10_MINUS_5,,,,1.0,1.0,0.0,0,0
J131432.70+122718.5,J131432.70+122718.5,GOLD,Dong2025_SDSS_LAMOST,MACLEOD2019_FINAL,matched,SNR_10_MINUS_5,,,,1.0,1.0,0.0,0,0
J131432.70+122718.5,J131432.70+122718.5,GOLD,Dong2025_SDSS_LAMOST,YANG2024_FINAL,faint_only,SNR_10_MINUS_5,0.27586206896551724,0.04,-0.23586206896551723,0.42,0.5,0.08000000000000002,29,25
J131432.70+122718.5,J131432.70+122718.5,GOLD,Dong2025_SDSS_LAMOST,YANG2024_FINAL,matched,SNR_10_MINUS_5,0.29411764705882354,0.0,-0.29411764705882354,0.66,0.88,0.21999999999999997,17,6
J133551.98+544450.1,J133551.98+544450.1,GOLD,Dong2025_SDSS_LAMOST,GREEN2022_FINAL,faint_only,SNR_10_MINUS_5,0.1,0.98,0.88,0.0,0.0,0.0,50,50
J133551.98+544450.1,J133551.98+544450.1,GOLD,Dong2025_SDSS_LAMOST,GREEN2022_FINAL,matched,SNR_10_MINUS_5,0.0,0.44,0.44,0.0,0.0,0.0,50,50
J133551.98+544450.1,J133551.98+544450.1,GOLD,Dong2025_SDSS_LAMOST,MACLEOD2019_FINAL,faint_only,SNR_10_MINUS_5,,,,1.0,1.0,0.0,0,0
J133551.98+544450.1,J133551.98+544450.1,GOLD,Dong2025_SDSS_LAMOST,MACLEOD2019_FINAL,matched,SNR_10_MINUS_5,,,,1.0,1.0,0.0,0,0
J133551.98+544450.1,J133551.98+544450.1,GOLD,Dong2025_SDSS_LAMOST,YANG2024_FINAL,faint_only,SNR_10_MINUS_5,0.25,0.0967741935483871,-0.1532258064516129,0.36,0.38,0.020000000000000018,32,31
J133551.98+544450.1,J133551.98+544450.1,GOLD,Dong2025_SDSS_LAMOST,YANG2024_FINAL,matched,SNR_10_MINUS_5,0.2413793103448276,0.10714285714285714,-0.13423645320197047,0.42,0.44,0.020000000000000018,29,28
J134133.73+090356.7,J134133.73+090356.7,GOLD,Dong2025_SDSS_LAMOST,GREEN2022_FINAL,faint_only,SNR_10_MINUS_5,,,,1.0,1.0,0.0,0,0
J134133.73+090356.7,J134133.73+090356.7,GOLD,Dong2025_SDSS_LAMOST,GREEN2022_FINAL,matched,SNR_10_MINUS_5,,,,1.0,1.0,0.0,0,0
J134133.73+090356.7,J134133.73+090356.7,GOLD,Dong2025_SDSS_LAMOST,MACLEOD2019_FINAL,faint_only,SNR_10_MINUS_5,,,,1.0,1.0,0.0,0,0
J134133.73+090356.7,J134133.73+090356.7,GOLD,Dong2025_SDSS_LAMOST,MACLEOD2019_FINAL,matched,SNR_10_MINUS_5,,,,1.0,1.0,0.0,0,0
J134133.73+090356.7,J134133.73+090356.7,GOLD,Dong2025_SDSS_LAMOST,YANG2024_FINAL,faint_only,SNR_10_MINUS_5,,,,1.0,1.0,0.0,0,0
J134133.73+090356.7,J134133.73+090356.7,GOLD,Dong2025_SDSS_LAMOST,YANG2024_FINAL,matched,SNR_10_MINUS_5,,,,1.0,1.0,0.0,0,0
J135255.68+252859.6,J135255.68+252859.6,GOLD,Dong2025_SDSS_LAMOST,GREEN2022_FINAL,faint_only,SNR_10_MINUS_5,0.18,0.96,0.78,0.0,0.0,0.0,50,50
J135255.68+252859.6,J135255.68+252859.6,GOLD,Dong2025_SDSS_LAMOST,GREEN2022_FINAL,matched,SNR_10_MINUS_5,0.04,0.84,0.7999999999999999,0.0,0.0,0.0,50,50
J135255.68+252859.6,J135255.68+252859.6,GOLD,Dong2025_SDSS_LAMOST,MACLEOD2019_FINAL,faint_only,SNR_10_MINUS_5,,,,1.0,1.0,0.0,0,0
J135255.68+252859.6,J135255.68+252859.6,GOLD,Dong2025_SDSS_LAMOST,MACLEOD2019_FINAL,matched,SNR_10_MINUS_5,,,,1.0,1.0,0.0,0,0
J135255.68+252859.6,J135255.68+252859.6,GOLD,Dong2025_SDSS_LAMOST,YANG2024_FINAL,faint_only,SNR_10_MINUS_5,0.2,0.0,-0.2,0.6,0.56,-0.039999999999999925,20,22
J135255.68+252859.6,J135255.68+252859.6,GOLD,Dong2025_SDSS_LAMOST,YANG2024_FINAL,matched,SNR_10_MINUS_5,0.2222222222222222,0.09090909090909091,-0.1313131313131313,0.64,0.56,-0.07999999999999996,18,22
J140515.59+542458.0,J140515.59+542458.0,GOLD,Zeltyn2024_SDSSV,GREEN2022_FINAL,faint_only,SNR_10_MINUS_5,0.02,0.88,0.86,0.0,0.0,0.0,50,50
J140515.59+542458.0,J140515.59+542458.0,GOLD,Zeltyn2024_SDSSV,GREEN2022_FINAL,matched,SNR_10_MINUS_5,0.0,0.02,0.02,0.0,0.0,0.0,50,50
J140515.59+542458.0,J140515.59+542458.0,GOLD,Zeltyn2024_SDSSV,MACLEOD2019_FINAL,faint_only,SNR_10_MINUS_5,,,,1.0,1.0,0.0,0,0
J140515.59+542458.0,J140515.59+542458.0,GOLD,Zeltyn2024_SDSSV,MACLEOD2019_FINAL,matched,SNR_10_MINUS_5,,,,1.0,1.0,0.0,0,0
J140515.59+542458.0,J140515.59+542458.0,GOLD,Zeltyn2024_SDSSV,YANG2024_FINAL,faint_only,SNR_10_MINUS_5,,,,1.0,1.0,0.0,0,0
J140515.59+542458.0,J140515.59+542458.0,GOLD,Zeltyn2024_SDSSV,YANG2024_FINAL,matched,SNR_10_MINUS_5,1.0,1.0,0.0,0.92,0.9,-0.020000000000000018,4,5
SDSSJ000236.25-002724.8,SDSSJ000236.25-002724.8,GOLD,Potts2021,GREEN2022_FINAL,faint_only,SNR_10_MINUS_5,0.0,0.0,0.0,0.0,0.0,0.0,50,50
SDSSJ000236.25-002724.8,SDSSJ000236.25-002724.8,GOLD,Potts2021,GREEN2022_FINAL,matched,SNR_10_MINUS_5,0.06,0.0,-0.06,0.0,0.0,0.0,50,50
SDSSJ000236.25-002724.8,SDSSJ000236.25-002724.8,GOLD,Potts2021,MACLEOD2019_FINAL,faint_only,SNR_10_MINUS_5,,,,1.0,1.0,0.0,0,0
SDSSJ000236.25-002724.8,SDSSJ000236.25-002724.8,GOLD,Potts2021,MACLEOD2019_FINAL,matched,SNR_10_MINUS_5,,,,1.0,1.0,0.0,0,0
SDSSJ000236.25-002724.8,SDSSJ000236.25-002724.8,GOLD,Potts2021,YANG2024_FINAL,faint_only,SNR_10_MINUS_5,0.0,0.0,0.0,0.74,0.5,-0.24,13,25
SDSSJ000236.25-002724.8,SDSSJ000236.25-002724.8,GOLD,Potts2021,YANG2024_FINAL,matched,SNR_10_MINUS_5,0.09090909090909091,0.0,-0.09090909090909091,0.78,0.6,-0.18000000000000005,11,20
SDSSJ012256.19-000252.68,SDSSJ012256.19-000252.68,SILVER,MacLeod2016,GREEN2022_FINAL,faint_only,SNR_10_MINUS_5,0.04,0.72,0.6799999999999999,0.0,0.0,0.0,50,50
SDSSJ012256.19-000252.68,SDSSJ012256.19-000252.68,SILVER,MacLeod2016,GREEN2022_FINAL,matched,SNR_10_MINUS_5,0.0,0.22,0.22,0.0,0.0,0.0,50,50
SDSSJ012256.19-000252.68,SDSSJ012256.19-000252.68,SILVER,MacLeod2016,MACLEOD2019_FINAL,faint_only,SNR_10_MINUS_5,,,,1.0,1.0,0.0,0,0
SDSSJ012256.19-000252.68,SDSSJ012256.19-000252.68,SILVER,MacLeod2016,MACLEOD2019_FINAL,matched,SNR_10_MINUS_5,,,,1.0,1.0,0.0,0,0
SDSSJ012256.19-000252.68,SDSSJ012256.19-000252.68,SILVER,MacLeod2016,YANG2024_FINAL,faint_only,SNR_10_MINUS_5,0.3333333333333333,0.23076923076923078,-0.10256410256410253,0.58,0.74,0.16000000000000003,21,13
SDSSJ012256.19-000252.68,SDSSJ012256.19-000252.68,SILVER,MacLeod2016,YANG2024_FINAL,matched,SNR_10_MINUS_5,0.29411764705882354,0.14285714285714285,-0.1512605042016807,0.66,0.86,0.19999999999999996,17,7
SDSSJ012648.08-083948.0,SDSSJ012648.08-083948.0,GOLD,Ruan2016,GREEN2022_FINAL,faint_only,SNR_10_MINUS_5,0.52,0.82,0.29999999999999993,0.0,0.0,0.0,50,50
SDSSJ012648.08-083948.0,SDSSJ012648.08-083948.0,GOLD,Ruan2016,GREEN2022_FINAL,matched,SNR_10_MINUS_5,0.24,0.44,0.2,0.0,0.0,0.0,50,50
