scope,arm,snr_rung,n_total,n_supported,support_fraction,d093_disposition
SOURCE_FAMILY:Zeltyn2024_SDSSV,faint_only,10,9,7,0.7777777777777778,FINAL_RETAINED_PRIOR_COMPARABLE
SOURCE_FAMILY:Zeltyn2024_SDSSV,faint_only,15,9,5,0.5555555555555556,REPORTED_NOT_PROMOTED_COMPARABILITY
SOURCE_FAMILY:Zeltyn2024_SDSSV,faint_only,20,9,3,0.3333333333333333,REPORTED_NOT_PROMOTED_COMPARABILITY
SOURCE_FAMILY:Zeltyn2024_SDSSV,faint_only,30,9,0,0.0,REPORTED_NOT_PROMOTED_COMPARABILITY
SOURCE_FAMILY:Zeltyn2024_SDSSV,faint_only,40,9,0,0.0,REPORTED_NOT_PROMOTED_COMPARABILITY
SOURCE_FAMILY:Zeltyn2024_SDSSV,matched,5,9,8,0.8888888888888888,FINAL_RETAINED_PRIOR_COMPARABLE
SOURCE_FAMILY:Zeltyn2024_SDSSV,matched,10,9,6,0.6666666666666666,FINAL_RETAINED_PRIOR_COMPARABLE
SOURCE_FAMILY:Zeltyn2024_SDSSV,matched,15,9,5,0.5555555555555556,REPORTED_NOT_PROMOTED_COMPARABILITY
SOURCE_FAMILY:Zeltyn2024_SDSSV,matched,20,9,3,0.3333333333333333,REPORTED_NOT_PROMOTED_COMPARABILITY
SOURCE_FAMILY:Zeltyn2024_SDSSV,matched,30,9,0,0.0,REPORTED_NOT_PROMOTED_COMPARABILITY
SOURCE_FAMILY:Zeltyn2024_SDSSV,matched,40,9,0,0.0,REPORTED_NOT_PROMOTED_COMPARABILITY
